Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Market Cap
505163,Z.F. Steering Gear (India) Limited,ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.-$,Active,X,10,INE116C01012,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,15041260000
513517,Steelcast Ltd.,STEELCAS,STEELCAST LTD.,Active,B,5,INE124E01020,Castings & Forgings,Equity,Industrials,Capital Goods,Industrial Products,Castings & Forgings,15584800000
543252,Fairchem Organics Limited,FAIRCHEMOR,Fairchem Organics Ltd,Active,B,10,INE0DNW01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,15405833072
544186,Forbes Precision Tools and Machine Parts Limited,TOTEM,Forbes Precision Tools and Machine Parts Ltd,Active,B,10,INE0TT901016,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,15586683659
540980,The Yamuna Syndicate Ltd,YSL,The Yamuna Syndicate Ltd,Active,X,100,INE868X01014,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,15352840000
506685,Ultramarine & Pigments Ltd.,ULTRAMAR,ULTRAMARINE & PIGMENTS LTD.-$,Active,B,2,INE405A01021,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,15388400000
522073,The Hi-Tech Gears Limited,HITECHGEAR,The Hi-Tech Gears Ltd,Active,T,10,INE127B01011,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,15470460000
506194,Arihant Superstructures Limited,ARIHANTSUP,Arihant Superstructures Limited,Active,B,10,INE643K01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",15091905675
544258,Western Carriers (India) Limited,WCIL,Western Carriers (India) Ltd,Active,B,5,INE0CJF01024,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,15184008900
532370,Ramco Systems Ltd,RAMCOSYS,RAMCO SYSTEMS LTD.,Active,B,10,INE246B01019,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,14981446590
